TRAN_AMT,ACCT_PRE_TRAN_AVAIL_BAL,CUST_AGE,OPEN_ACCT_CT,WF_dvc_age,PWD_UPDT_TS,CARR_NAME,RGN_NAME,STATE_PRVNC_TXT,ALERT_TRGR_CD,DVC_TYPE_TXT,AUTHC_PRIM_TYPE_CD,AUTHC_SCNDRY_STAT_TXT,CUST_ZIP,CUST_STATE,PH_NUM_UPDT_TS,CUST_SINCE_DT,TRAN_TS,TRAN_DT,ACTN_CD,ACTN_INTNL_TXT,TRAN_TYPE_CD,ACTVY_DT,FRAUD_NONFRAUD
490.75,3046.38,66,9,475,6/26/2021 10:56:55,sierra tel internet,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,30087,GA,,1987-02-04 00:00:00,1/22/2021 8:14:46,1/22/2021,SCHPMT,P2P_COMMIT,P2P,1/22/2021,Fraud
493.13,7116.51,18,8,808,10/3/2021 6:53:17,,,,MOBL,,UN_PWD,ALLOW,90262,CA,5/6/2017 17:50:5,2002-01-01 00:00:00,6/21/2021 13:53:17,6/21/2021,SCHPMT,P2P_COMMIT,P2P,6/21/2021,Fraud
14.48,2754.96,50,6,151,,charter communications inc,south central,texas,MOBL,MOBILE,UN_PWD,ALLOW,10466,NY,7/15/2018 13:45:37,1964-08-17 00:00:00,3/3/2021 9:57:22,3/3/2021,SCHPMT,P2P_COMMIT,P2P,3/3/2021,Non-Fraud
486.52,3434.35,65,10,0,6/2/2020 10:27:25,,,,ONLN,DESKTOP,UN_PWD,ALLOW,78752,TX,1/0/2020 14:40:54,2011-08-05 00:00:00,4/28/2021 10:27:25,4/28/2021,SCHPMT,P2P_COMMIT,P2P,4/28/2021,Fraud
493.19,90249.15,60,4,955,11/15/2019 13:7:20,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,80013,CO,4/25/2017 16:1:32,2005-07-28 00:00:00,1/5/2021 4:0:51,1/5/2021,SCHPMT,P2P_COMMIT,P2P,1/5/2021,Non-Fraud
45.24,0,49,4,109,10/18/2021 15:7:20,cox communications inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,92008,CA,,1984-02-13 00:00:00,3/17/2021 16:0:51,3/17/2021,SCHPMT,P2P_COMMIT,P2P,3/17/2021,Non-Fraud
489.96,2727.82,58,2,747,2/28/2021 2:56:55,t-mobile usa  inc.,great lakes,minnesota,MOBL,MOBILE,UN_PWD,ALLOW,55117,MN,3/5/2020 7:22:10,1989-08-01 00:00:00,7/4/2021 2:14:46,7/4/2021,SCHPMT,P2P_COMMIT,P2P,7/4/2021,Fraud
143.06,35074.16,23,6,1447,11/5/2021 10:5:22,wave broadband,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,92394,CA,,1983-01-07 00:00:00,6/23/2021 22:5:22,6/23/2021,SCHPMT,P2P_COMMIT,P2P,6/23/2021,Non-Fraud
207.86,0,61,4,131,3/27/2019 23:13:39,cox communications inc.,southwest,california,ONLN,,UN_PWD,ALLOW,97520,OR,,1982-01-13 00:00:00,6/9/2021 19:13:39,6/9/2021,SCHPMT,P2P_COMMIT,P2P,6/9/2021,Non-Fraud
17.46,3020.97,59,6,1061,,comcast,south central,texas,MOBL,MOBILE,UN_PWD,ALLOW,55378,MN,,1999-06-30 00:00:00,2/2/2021 12:46:44,2/2/2021,SCHPMT,P2P_COMMIT,P2P,2/2/2021,Non-Fraud
0.01,0,65,6,68,4/18/2017 8:51:10,comcast cable communications  llc,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,93065,CA,9/8/2017 6:43:22,2018-07-13 00:00:00,2/5/2021 14:51:10,2/5/2021,SCHPMT,P2P_COMMIT,P2P,2/5/2021,Non-Fraud
0.01,0,46,3,293,,,,,MOBL,MOBILE,UN_PWD,ALLOW,55044,MN,,1987-06-11 00:00:00,2/6/2021 6:54:24,2/6/2021,SCHPMT,P2P_COMMIT,P2P,2/6/2021,Non-Fraud
180.84,6403.34,76,10,686,2/16/2020 7:14:29,centurylink communications  llc,southwest,arizona,ONLN,DESKTOP,FACE_ID,ALLOW,91411,CA,,2004-04-23 00:00:00,2/19/2021 17:14:29,2/19/2021,SCHPMT,P2P_COMMIT,P2P,2/19/2021,Non-Fraud
487.75,4266.85,73,4,609,5/28/2020 13:19:40,att services inc,southeast,florida,ONLN,DESKTOP,UN_PWD,ALLOW,22903,VA,5/0/2020 11:15:21,1996-04-01 00:00:00,2/9/2021 14:19:40,2/9/2021,SCHPMT,P2P_COMMIT,P2P,2/9/2021,Fraud
491.16,1297.55,51,14,0,3/19/2020 8:56:55,,,,ONLN,,FACE_ID,ALLOW,76023,TX,,1991-01-12 00:00:00,2/17/2021 10:14:46,2/17/2021,SCHPMT,P2P_COMMIT,P2P,2/17/2021,Fraud
34.61,0,38,2,109,12/18/2020 6:7:36,t-mobile usa  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,78573,TX,,2002-02-26 00:00:00,1/14/2021 11:7:36,1/14/2021,SCHPMT,P2P_COMMIT,P2P,1/14/2021,Non-Fraud
0.01,0,39,5,71,3/18/2017 4:6:15,cox communications inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,86442,AZ,,1998-06-01 00:00:00,4/18/2021 11:6:15,4/18/2021,SCHPMT,P2P_COMMIT,P2P,4/18/2021,Non-Fraud
490.21,3139.95,92,3,781,2/19/2021 12:36:45,,,,ONLN,MOBILE,UN_PWD,ALLOW,95827,CA,5/6/2017 13:8:7,1995-10-01 00:00:00,5/28/2021 18:36:45,5/28/2021,SCHPMT,P2P_COMMIT,P2P,5/28/2021,Fraud
0.37,3729.87,74,2,270,11/23/2020 16:24:58,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,AFA_PL,ALLOW,92570,CA,,2018-06-02 00:00:00,5/24/2021 10:24:58,5/24/2021,SCHPMT,P2P_COMMIT,P2P,5/24/2021,Non-Fraud
469.83,2167.95,71,4,60,1/18/2019 10:13:3,charter communications inc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,93065,CA,11/11/2019 2:45:37,2001-02-01 00:00:00,6/29/2021 13:13:3,6/29/2021,SCHPMT,P2P_COMMIT,P2P,6/29/2021,Non-Fraud
0.01,0,65,3,22,12/18/2020 4:50:54,,,,MOBL,MOBILE,UN_PWD,ALLOW,77095,TX,,2002-08-30 00:00:00,4/2/2021 12:50:54,4/2/2021,SCHPMT,P2P_COMMIT,P2P,4/2/2021,Non-Fraud
106.54,794.84,44,10,107,9/22/2020 6:25:48,frontier communications of america  inc.,southwest,california,ONLN,DESKTOP,AFA_PL,ALLOW,75104,TX,,1982-03-27 00:00:00,7/22/2021 11:25:48,7/22/2021,SCHPMT,P2P_COMMIT,P2P,7/22/2021,Non-Fraud
499.06,2949.25,55,5,792,10/25/2020 22:12:33,,,,ONLN,DESKTOP,UN_PWD,ALLOW,84054,UT,5/7/2020 12:15:17,1988-10-30 00:00:00,4/22/2021 16:12:33,4/22/2021,SCHPMT,P2P_COMMIT,P2P,4/22/2021,Fraud
490.32,3359.11,45,3,0,6/18/2021 10:41:23,consolidated communications,midwest,iowa,ONLN,DESKTOP,UN_PWD,ALLOW,84116,UT,,1969-11-13 00:00:00,6/18/2021 21:41:23,6/18/2021,SCHPMT,P2P_COMMIT,P2P,6/18/2021,Fraud
101.65,8639.24,81,8,231,,cox communications inc.,southwest,nevada,ONLN,DESKTOP,UN_PWD,ALLOW,85051,AZ,7/8/2019 6:0:9,2021-08-07 00:00:00,2021-08-07 00:00:00,2021-08-07 00:00:00,SCHPMT,P2P_COMMIT,P2P,2021-08-07 00:00:00,Non-Fraud
413.27,0,47,4,148,5/8/2021 4:9:8,cox communications inc.,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,90064,CA,,2003-01-06 00:00:00,2/13/2021 8:9:8,2/13/2021,SCHPMT,P2P_COMMIT,P2P,2/13/2021,Non-Fraud
0.01,0,66,2,258,12/8/2020 15:7:20,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,85032,AZ,10/8/2019 6:55:17,2002-09-01 00:00:00,4/10/2021 21:0:51,4/10/2021,SCHPMT,P2P_COMMIT,P2P,4/10/2021,Non-Fraud
488.25,2651.5,72,5,0,5/3/2021 13:22:49,,,,MOBL,MOBILE,UN_PWD,ALLOW,76082,TX,1/29/2020 0:51:56,2003-02-09 00:00:00,1/26/2021 10:22:49,1/26/2021,SCHPMT,P2P_COMMIT,P2P,1/26/2021,Fraud
486.42,3078.99,86,2,828,2/18/2021 13:18:32,,,,MOBL,MOBILE,UN_PWD,ALLOW,76120,TX,5/1/2020 15:55:6,2016-02-19 00:00:00,2/17/2021 13:18:32,2/17/2021,SCHPMT,P2P_COMMIT,P2P,2/17/2021,Fraud
492.06,3288.19,89,2,144,6/2/2021 13:49:4,google fiber inc.,south central,texas,ONLN,MOBILE,UN_PWD,ALLOW,80111,CO,5/16/2018 9:34:29,1993-07-04 00:00:00,6/30/2021 13:49:4,6/30/2021,SCHPMT,P2P_COMMIT,P2P,6/30/2021,Fraud
0.01,0,67,8,1929,1/19/2020 18:32:2,charter communications inc,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,37205,TN,8/6/2018 6:55:8,2001-03-05 00:00:00,6/11/2021 14:32:2,6/11/2021,SCHPMT,P2P_COMMIT,P2P,6/11/2021,Non-Fraud
0.01,1624.92,65,8,487,,comcast,south central,texas,ONLN,MOBILE,UN_PWD,ALLOW,95648,CA,,2002-01-28 00:00:00,6/3/2021 17:1:30,6/3/2021,SCHPMT,P2P_COMMIT,P2P,6/3/2021,Non-Fraud
16.32,0,44,3,132,9/18/2021 12:27:13,comcast cable communications  llc,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,55053,MN,7/8/2018 6:32:3,2018-05-28 00:00:00,5/23/2021 10:27:13,5/23/2021,SCHPMT,P2P_COMMIT,P2P,5/23/2021,Non-Fraud
0.01,2237.48,73,2,0,6/30/2021 11:56:55,,,,MOBL,MOBILE,UN_PWD,ALLOW,77043,TX,1/2/2020 13:50:5,2017-03-14 00:00:00,4/6/2021 15:14:46,4/6/2021,SCHPMT,P2P_COMMIT,P2P,4/6/2021,Fraud
0.01,718.56,72,12,593,4/11/2019 11:7:20,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,30276,GA,,1998-12-26 00:00:00,5/3/2021 16:0:51,5/3/2021,SCHPMT,P2P_COMMIT,P2P,5/3/2021,Non-Fraud
36.06,264.85,48,5,2103,7/17/2020 13:39:54,t-mobile usa  inc.,south central,texas,MOBL,DESKTOP,TOUCH_ID,ALLOW,81632,CO,,1965-08-03 00:00:00,4/12/2021 18:39:54,4/12/2021,SCHPMT,P2P_COMMIT,P2P,4/12/2021,Non-Fraud
19.9,3236.32,78,5,126,12/18/2020 6:47:28,centurylink communications  llc,southwest,arizona,MOBL,,UN_PWD,ALLOW,78254,TX,,1992-10-23 00:00:00,2/16/2021 12:47:28,2/16/2021,SCHPMT,P2P_COMMIT,P2P,2/16/2021,Non-Fraud
768.43,0,60,4,31,11/18/2020 15:55:59,at&t mobility llc,southwest,california,ONLN,MOBILE,FACE_ID,ALLOW,85204,AZ,,2019-08-25 00:00:00,6/28/2021 11:55:59,6/28/2021,SCHPMT,P2P_COMMIT,P2P,6/28/2021,Non-Fraud
491.27,2222.18,77,3,1880,6/21/2017 4:7:58,,,,ONLN,MOBILE,UN_PWD,ALLOW,33143,FL,,2001-11-30 00:00:00,6/30/2021 14:7:58,6/30/2021,SCHPMT,P2P_COMMIT,P2P,6/30/2021,Fraud
6.23,8738.86,38,5,1138,11/18/2020 5:7:20,unknown,southwest,california,ONLN,MOBILE,AFA_PL,ALLOW,88240,NM,,1968-07-16 00:00:00,3/2/2021 15:0:51,3/2/2021,SCHPMT,P2P_COMMIT,P2P,3/2/2021,Non-Fraud
16.18,0,49,3,210,2/28/2017 4:46:25,,,,MOBL,MOBILE,UN_PWD,ALLOW,92509,CA,5/8/2019 6:45:37,2000-08-08 00:00:00,1/9/2021 11:46:25,1/9/2021,SCHPMT,P2P_COMMIT,P2P,1/9/2021,Non-Fraud
493.08,3072.3,69,7,146,3/20/2020 14:47:38,level 3 parent  llc,great lakes,minnesota,MOBL,MOBILE,UN_PWD,ALLOW,33178,FL,5/2/2019 8:21:49,2012-02-20 00:00:00,5/24/2021 19:47:38,5/24/2021,SCHPMT,P2P_COMMIT,P2P,5/24/2021,Fraud
0.01,0,69,3,1048,11/18/2020 4:33:27,charter communications inc,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,90022,CA,,2000-10-09 00:00:00,2/3/2021 9:33:27,2/3/2021,SCHPMT,P2P_COMMIT,P2P,2/3/2021,Non-Fraud
0.01,0,61,3,1960,5/18/2020 15:32:21,t-mobile usa  inc.,southwest,california,MOBL,,UN_PWD,ALLOW,92806,CA,,1998-01-23 00:00:00,3/22/2021 6:32:21,3/22/2021,SCHPMT,P2P_COMMIT,P2P,3/22/2021,Non-Fraud
491.24,5280.77,72,3,0,10/6/2021 11:31:15,,,,ONLN,MOBILE,UN_PWD,ALLOW,94590,CA,5/8/2018 11:50:28,1990-05-11 00:00:00,1/18/2021 17:31:15,1/18/2021,SCHPMT,P2P_COMMIT,P2P,1/18/2021,Fraud
256.53,0,60,3,9,5/7/2021 8:9:56,comcast cable communications  llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,86303,AZ,2/8/2018 6:45:37,2002-04-01 00:00:00,5/19/2021 15:9:56,5/19/2021,SCHPMT,P2P_COMMIT,P2P,5/19/2021,Non-Fraud
1758.31,4158.05,52,7,1798,11/30/2017 21:54:27,mediacom communications corp,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,94520,CA,12/11/2018 14:37:33,2017-09-26 00:00:00,2/1/2021 18:54:27,2/1/2021,SCHPMT,P2P_COMMIT,P2P,2/1/2021,Non-Fraud
9.71,264.35,61,2,875,5/31/2017 4:12:32,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,78201,TX,7/8/2019 6:45:37,1998-07-23 00:00:00,2/15/2021 11:12:32,2/15/2021,SCHPMT,P2P_COMMIT,P2P,2/15/2021,Non-Fraud
0.01,0,60,9,2602,4/26/2020 4:7:20,centurylink communications  llc,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,77316,TX,,1996-09-24 00:00:00,5/22/2021 12:0:51,5/22/2021,SCHPMT,P2P_COMMIT,P2P,5/22/2021,Non-Fraud
456.6,0,54,2,124,,comcast cable communications  llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,76132,TX,7/1/2020 6:24:46,2016-10-01 00:00:00,6/13/2021 16:57:51,6/13/2021,SCHPMT,P2P_COMMIT,P2P,6/13/2021,Non-Fraud
964.51,16303.28,73,3,1488,,t-mobile usa  inc.,mid atlantic,virginia,MOBL,,UN_PWD,CHALLENGE_SUCCESS,92401,CA,,1985-07-28 00:00:00,7/4/2021 22:2:58,7/4/2021,SCHPMT,P2P_COMMIT,P2P,7/4/2021,Non-Fraud
31.57,3204.59,68,20,135,10/27/2021 19:7:20,comcast,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,90254,CA,2/6/2019 6:45:37,2019-05-16 00:00:00,5/29/2021 19:0:51,5/29/2021,SCHPMT,P2P_COMMIT,P2P,5/29/2021,Non-Fraud
488.16,2394.35,65,2,0,1/18/2020 19:17:42,,,,ONLN,MOBILE,UN_PWD,ALLOW,35007,AL,5/20/2021 11:21:10,2001-10-09 00:00:00,2/3/2021 18:17:42,2/3/2021,SCHPMT,P2P_COMMIT,P2P,2/3/2021,Fraud
487.84,3500.98,69,4,0,11/20/2020 10:56:55,,,,MOBL,MOBILE,UN_PWD,ALLOW,92324,CA,5/31/2018 23:50:5,2003-05-01 00:00:00,2/25/2021 10:14:46,2/25/2021,SCHPMT,P2P_COMMIT,P2P,2/25/2021,Fraud
410.63,46253.37,72,3,1846,,charter communications inc,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,95453,CA,6/8/2020 9:38:8,2012-01-24 00:00:00,5/3/2021 15:0:51,5/3/2021,SCHPMT,P2P_COMMIT,P2P,5/3/2021,Non-Fraud
35.9,47252.75,62,5,62,11/8/2020 11:51:41,cox communications inc.,southwest,nevada,ONLN,MOBILE,UN_PWD,ALLOW,59853,MT,,2014-02-09 00:00:00,2/17/2021 10:51:41,2/17/2021,SCHPMT,P2P_COMMIT,P2P,2/17/2021,Non-Fraud
0.01,654.74,61,9,197,10/12/2017 8:7:20,,,,MOBL,MOBILE,UN_PWD,ALLOW,77479,TX,11/7/2019 6:2:48,2018-04-30 00:00:00,7/18/2021 12:0:51,7/18/2021,SCHPMT,P2P_COMMIT,P2P,7/18/2021,Non-Fraud
473.8,2519.1,67,6,504,8/17/2020 11:52:6,,,,ONLN,TABLET,UN_PWD,ALLOW,93612,CA,3/27/2017 13:23:33,1999-04-06 00:00:00,5/27/2021 18:52:6,5/27/2021,SCHPMT,P2P_COMMIT,P2P,5/27/2021,Non-Fraud
74.98,174.49,71,6,580,2/7/2020 4:52:44,cox communications inc.,southwest,nevada,ONLN,MOBILE,FACE_ID,ALLOW,95973,CA,,1998-02-01 00:00:00,6/4/2021 8:52:44,6/4/2021,SCHPMT,P2P_COMMIT,P2P,6/4/2021,Non-Fraud
0.01,7473.96,67,3,44,12/17/2020 4:49:33,t-mobile usa  inc.,southwest,california,MOBL,DESKTOP,FACE_ID,ALLOW,85382,AZ,,2004-03-08 00:00:00,4/6/2021 12:49:33,4/6/2021,SCHPMT,P2P_COMMIT,P2P,4/6/2021,Non-Fraud
0.01,259.2,70,3,46,4/27/2020 4:7:20,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,92571,CA,,2019-04-29 00:00:00,3/21/2021 16:0:51,3/21/2021,SCHPMT,P2P_COMMIT,P2P,3/21/2021,Non-Fraud
464.13,1550.88,56,6,236,1/25/2017 0:13:50,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,86515,AZ,,1997-08-29 00:00:00,1/23/2021 20:13:50,1/23/2021,SCHPMT,P2P_COMMIT,P2P,1/23/2021,Non-Fraud
242.71,154.21,61,7,427,,,,,ONLN,MOBILE,AFA_PL,ALLOW,33018,FL,7/12/2019 6:34:14,1995-06-02 00:00:00,6/28/2021 11:9:54,6/28/2021,SCHPMT,P2P_COMMIT,P2P,6/28/2021,Non-Fraud
497.83,126762.61,68,6,986,4/5/2020 12:19:14,wecom inc,southwest,arizona,MOBL,,TOUCH_ID,ALLOW,68136,NE,,1969-10-19 00:00:00,3/7/2021 7:19:14,3/7/2021,SCHPMT,P2P_COMMIT,P2P,3/7/2021,Fraud
492.04,2132.85,70,1,18,2/14/2021 12:20:54,,,,MOBL,MOBILE,UN_PWD,ALLOW,99603,AK,,2016-05-19 00:00:00,4/5/2021 7:20:54,4/5/2021,SCHPMT,P2P_COMMIT,P2P,4/5/2021,Fraud
0.01,0,55,2,107,,comcast cable communications  llc,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,78577,TX,,1992-04-14 00:00:00,3/3/2021 16:0:51,3/3/2021,SCHPMT,P2P_COMMIT,P2P,3/3/2021,Non-Fraud
490.23,2754.62,67,2,0,,,,,ONLN,MOBILE,UN_PWD,ALLOW,95127,CA,5/0/2020 23:50:5,2014-11-28 00:00:00,5/7/2021 9:47:20,5/7/2021,SCHPMT,P2P_COMMIT,P2P,5/7/2021,Fraud
486.4,3414.69,62,4,0,3/3/2021 13:36:50,,,,MOBL,MOBILE,UN_PWD,ALLOW,80550,CO,5/27/2020 11:21:22,2000-08-01 00:00:00,3/25/2021 9:36:50,3/25/2021,SCHPMT,P2P_COMMIT,P2P,3/25/2021,Fraud
65.92,29183.77,54,16,672,,t-mobile usa  inc.,south central,texas,MOBL,MOBILE,FACE_ID,ALLOW,90731,CA,,2004-03-31 00:00:00,6/20/2021 10:48:9,6/20/2021,SCHPMT,P2P_COMMIT,P2P,6/20/2021,Non-Fraud
1815.95,1085.38,41,7,1286,9/12/2021 17:24:21,charter communications inc,southwest,california,MOBL,DESKTOP,FACE_ID,ALLOW,94928,CA,10/17/2018 6:45:37,2002-12-26 00:00:00,7/4/2021 10:24:21,7/4/2021,SCHPMT,P2P_COMMIT,P2P,7/4/2021,Non-Fraud
58.83,53597.93,30,3,435,5/31/2021 19:20:55,charter communications inc,southwest,california,MOBL,,UN_PWD,ALLOW,80260,CO,,1991-04-05 00:00:00,3/23/2021 21:20:55,3/23/2021,SCHPMT,P2P_COMMIT,P2P,3/23/2021,Non-Fraud
466.19,2124.53,47,3,1643,11/25/2018 15:46:54,frontier communications of america  inc.,southwest,california,ONLN,MOBILE,UN_PWD,ALLOW,91978,CA,,1991-02-23 00:00:00,7/9/2021 20:46:54,7/9/2021,SCHPMT,P2P_COMMIT,P2P,7/9/2021,Non-Fraud
48.14,2201.3,24,6,176,4/10/2020 12:37:10,,,,ONLN,DESKTOP,UN_PWD,ALLOW,59106,MT,,1979-06-01 00:00:00,7/19/2021 10:37:10,7/19/2021,SCHPMT,P2P_COMMIT,P2P,7/19/2021,Fraud
29.42,0,65,4,135,3/19/2021 21:17:56,frontier communications of america  inc.,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,93245,CA,7/13/2020 15:45:37,1999-03-27 00:00:00,3/30/2021 22:17:56,3/30/2021,SCHPMT,P2P_COMMIT,P2P,3/30/2021,Non-Fraud
32.87,0,60,3,464,1/18/2017 10:40:28,comcast,southwest,california,MOBL,DESKTOP,UN_PWD,ALLOW,95020,CA,,1996-10-29 00:00:00,4/11/2021 11:40:28,4/11/2021,SCHPMT,P2P_COMMIT,P2P,4/11/2021,Non-Fraud
377.19,80536.04,67,5,1673,8/20/2021 12:40:24,highwinds network group  inc.,southeast,florida,ONLN,,UN_PWD,ALLOW,43609,OH,,2020-05-02 00:00:00,3/4/2021 14:40:24,3/4/2021,SCHPMT,P2P_COMMIT,P2P,3/4/2021,Fraud
12.88,0,71,3,202,11/18/2019 4:21:11,cox communications inc.,southwest,nevada,ONLN,MOBILE,UN_PWD,ALLOW,95618,CA,2/25/2019 6:12:39,1998-07-20 00:00:00,6/15/2021 17:21:11,6/15/2021,SCHPMT,P2P_COMMIT,P2P,6/15/2021,Non-Fraud
489.09,3910.23,60,2,38,3/15/2018 15:56:55,,,,ONLN,DESKTOP,UN_PWD,ALLOW,54155,WI,7/0/2021 8:50:5,2003-12-24 00:00:00,4/29/2021 18:14:46,4/29/2021,SCHPMT,P2P_COMMIT,P2P,4/29/2021,Fraud
1.29,0,35,6,45,2/20/2018 0:3:48,north state telephone co.,southeast,north carolina,ONLN,TABLET,AFA_PL,ALLOW,76244,TX,7/22/2019 22:37:3,2001-07-14 00:00:00,7/1/2021 23:3:48,7/1/2021,SCHPMT,P2P_COMMIT,P2P,7/1/2021,Non-Fraud
1.08,0,66,6,55,5/18/2020 8:7:20,centurylink communications  llc,southwest,arizona,MOBL,MOBILE,UN_PWD,ALLOW,77095,TX,2/8/2020 6:4:45,2001-08-06 00:00:00,7/22/2021 8:0:51,7/22/2021,SCHPMT,P2P_COMMIT,P2P,7/22/2021,Non-Fraud
60.64,8518.54,38,2,1774,,klein independent school district,south central,texas,ONLN,MOBILE,UN_PWD,ALLOW,44023,OH,,1994-12-09 00:00:00,5/14/2021 10:28:30,5/14/2021,SCHPMT,P2P_COMMIT,P2P,5/14/2021,Non-Fraud
492,1885.99,72,9,0,9/24/2018 9:12:1,cablevision systems corp.,mid atlantic,new jersey,MOBL,DESKTOP,UN_PWD,ALLOW,28590,NC,,1997-05-30 00:00:00,3/29/2021 12:12:1,3/29/2021,SCHPMT,P2P_COMMIT,P2P,3/29/2021,Fraud
495.52,8887.94,46,5,140,2/3/2019 10:16:26,comcast cable communications  llc,southwest,california,ONLN,DESKTOP,UN_PWD,CHALLENGE_SUCCESS,95035,CA,8/12/2020 1:50:5,1991-06-21 00:00:00,6/21/2021 10:16:26,6/21/2021,SCHPMT,P2P_COMMIT,P2P,6/21/2021,Fraud
495.37,2216.9,20,3,1632,6/1/2021 3:56:55,centurylink communications  llc,great lakes,minnesota,ONLN,,UN_PWD,ALLOW,32905,FL,4/0/2017 15:50:5,2002-04-02 00:00:00,3/19/2021 17:14:46,3/19/2021,SCHPMT,P2P_COMMIT,P2P,3/19/2021,Fraud
0.01,0,60,6,502,2/9/2020 0:7:11,comcast cable communications  llc,southwest,california,MOBL,DESKTOP,FACE_ID,ALLOW,94122,CA,1/26/2018 10:52:25,2002-01-17 00:00:00,7/23/2021 12:7:11,7/23/2021,SCHPMT,P2P_COMMIT,P2P,7/23/2021,Non-Fraud
486.59,410.42,87,6,1091,3/31/2020 8:50:11,saddleback communications,southwest,arizona,ONLN,,UN_PWD,ALLOW,85648,AZ,9/16/2019 6:35:51,2011-04-30 00:00:00,8/25/2021 7:50:11,8/25/2021,SCHPMT,P2P_COMMIT,P2P,8/25/2021,Non-Fraud
0.01,0,46,10,1572,5/16/2021 9:7:20,t-mobile usa  inc.,southwest,california,MOBL,MOBILE,FACE_ID,ALLOW,86033,AZ,,1997-02-28 00:00:00,2/20/2021 21:0:51,2/20/2021,SCHPMT,P2P_COMMIT,P2P,2/20/2021,Non-Fraud
2.8,1504.14,70,3,260,9/17/2020 10:45:48,centurylink communications  llc,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,11226,NY,,2002-05-29 00:00:00,5/8/2021 7:45:48,5/8/2021,SCHPMT,P2P_COMMIT,P2P,5/8/2021,Non-Fraud
490.2,3570.23,74,7,0,6/10/2021 12:23:16,,,,MOBL,,UN_PWD,ALLOW,88401,NM,5/24/2020 23:57:2,1995-10-04 00:00:00,7/27/2021 14:23:16,7/27/2021,SCHPMT,P2P_COMMIT,P2P,7/27/2021,Fraud
18.08,2551.67,61,5,184,10/18/2020 12:15:41,cox communications inc.,southwest,california,ONLN,DESKTOP,UN_PWD,ALLOW,30144,GA,10/14/2019 15:45:37,1989-12-08 00:00:00,6/25/2021 11:15:41,6/25/2021,SCHPMT,P2P_COMMIT,P2P,6/25/2021,Non-Fraud
0.01,0,24,3,2,5/6/2020 4:53:4,cox communications inc.,southwest,arizona,ONLN,MOBILE,UN_PWD,ALLOW,78542,TX,7/8/2019 6:54:34,1997-07-05 00:00:00,6/1/2021 17:53:4,6/1/2021,SCHPMT,P2P_COMMIT,P2P,6/1/2021,Non-Fraud
19.46,0,37,4,947,,comcast,southwest,california,ONLN,MOBILE,AFA_PL,ALLOW,78734,TX,,2014-04-09 00:00:00,7/2/2021 18:30:12,7/2/2021,SCHPMT,P2P_COMMIT,P2P,7/2/2021,Non-Fraud
7.11,48088.38,46,6,228,2/5/2020 17:40:48,charter communications,southwest,california,MOBL,MOBILE,UN_PWD,ALLOW,91786,CA,,2004-05-01 00:00:00,1/19/2021 19:40:48,1/19/2021,SCHPMT,P2P_COMMIT,P2P,1/19/2021,Non-Fraud
0.01,0,60,10,1446,11/19/2020 4:36:20,att services inc,south central,texas,MOBL,MOBILE,AFA_PL,ALLOW,7011,NJ,,1977-08-21 00:00:00,6/25/2021 7:36:20,6/25/2021,SCHPMT,P2P_COMMIT,P2P,6/25/2021,Non-Fraud
21.8,40360.33,79,5,957,1/12/2020 9:24:15,,,,ONLN,DESKTOP,UN_PWD,ALLOW,90011,CA,7/8/2019 6:23:58,2021-10-31 00:00:00,2021-10-31 00:00:00,2021-10-31 00:00:00,SCHPMT,P2P_COMMIT,P2P,2021-10-31 00:00:00,Non-Fraud
